stddev30,stddev420,stddev1400,stddev6900,vov3,vov5,vov10
0.00026706,0.00140059,0.00168508,0.01198345,1.804e-05,4.568e-05,4.609e-05
0.00056149,0.00121844,0.00133988,0.01087958,2.326e-05,2.935e-05,4.67e-05
0.0002334,0.000623,0.0016902,0.00934066,1.275e-05,2.321e-05,4.684e-05
0.00027535,0.00105282,0.00254135,0.00790409,1.815e-05,2.428e-05,5.13e-05
0.00016906,0.0006846,0.00061135,0.0080771,2.959e-05,2.582e-05,5.447e-05
0.00039278,0.00089646,0.00191462,0.00844083,1.233e-05,2.604e-05,5.793e-05
0.00072822,0.00137483,0.0041531,0.00688612,5.487e-05,4.486e-05,4.32e-05
0.00049065,0.00098026,0.00300889,0.00547648,5.366e-05,5.384e-05,4.285e-05
0.00028196,0.00051206,0.00104144,0.00587062,3.945e-05,5.32e-05,4.142e-05
0.00045059,0.00235785,0.00168145,0.00540423,4.087e-05,5.021e-05,4.462e-05
0.00036777,0.00055664,0.00198424,0.00589183,3.699e-05,3.584e-05,4.464e-05
0.00070353,0.00088315,0.0091326,0.00752966,6.253e-05,6.221e-05,6.399e-05
0.00035134,0.00072502,0.00318936,0.00784536,7.049e-05,7.429e-05,7.542e-05
0.00045423,0.00080089,0.00111755,0.00756235,7.163e-05,6.768e-05,7.311e-05
0.00029543,0.00101834,0.00319344,0.00764254,7.655e-05,7.835e-05,6.864e-05
0.00020185,0.00053761,0.00143246,0.00675349,1.244e-05,8.347e-05,6.507e-05
0.00012979,0.00133766,0.00263498,0.00492254,3.291e-05,6.577e-05,6.488e-05
0.00027754,0.00042764,0.00108471,0.00467813,3.716e-05,2.975e-05,6.863e-05
0.00040477,0.00289981,0.00225074,0.00469369,3.823e-05,3.065e-05,6.919e-05
0.00032262,0.00106858,0.00175527,0.00374689,2.071e-05,3.162e-05,6.855e-05
0.00024515,0.00120583,0.00257048,0.0030926,1.735e-05,3.123e-05,6.984e-05
0.00011844,0.00061813,0.00097968,0.00284995,3.511e-05,2.737e-05,5.93e-05
0.00065109,0.00062442,0.00053534,0.00278707,3.874e-05,4.407e-05,4.269e-05
0.00038651,0.00129433,0.00147833,0.00267246,2.668e-05,4.334e-05,4.201e-05
0.00012503,0.00076426,0.0014014,0.00221235,2.943e-05,3.12e-05,4.237e-05
0.00041278,0.00263581,0.00255066,0.00421902,2.271e-05,3.579e-05,4.324e-05
0.00031761,0.00123047,0.0028508,0.00874795,3.6e-05,5.002e-05,4.055e-05
0.00057938,0.00128588,0.00163895,0.0101968,2.783e-05,4.614e-05,4.996e-05
0.00043436,0.00057103,0.00220831,0.00912422,1.439e-05,4.51e-05,5.635e-05
0.00042628,0.0009922,0.0027912,0.00627193,2.26e-05,3.835e-05,6.784e-05
0.00070739,0.00115838,0.00426239,0.00380326,2.925e-05,3.638e-05,7.91e-05
0.00034032,0.00139467,0.00508794,0.00441435,1.278e-05,3.354e-05,8.24e-05
0.00105131,0.00161975,0.00595674,0.00566021,4.139e-05,5.261e-05,8.482e-05
